cds	rtype	sname	dname	cname	Enroll1012	Enroll12	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5	year
01612000133397	S	Granada High                                      	Livermore Valley Joint Unified                    	Alameda        	1476	467	394	38	100	220	197	115	1314
01612000134536	S	Livermore High                                    	Livermore Valley Joint Unified                    	Alameda        	1294	438	255	37	87	156	98	62	1314
01612340000000	D	                                                  	Newark Unified                                    	Alameda        	1539	491	324	117	181	172	103	63	1314
01612340130054	S	Newark Memorial High                              	Newark Unified                                    	Alameda        	1414	418	324	117	181	172	103	63	1314
01612340130484	S	Crossroads High (Alternative)                     	Newark Unified                                    	Alameda        	33	14	0	NA	NA	NA	NA	NA	1314
01612420000000	D	                                                  	New Haven Unified                                 	Alameda        	3208	1170	701	195	366	422	255	176	1314
01612420126763	S	Decoto School for Independent Study               	New Haven Unified                                 	Alameda        	125	73	0	NA	NA	NA	NA	NA	1314
01612420134668	S	James Logan High                                  	New Haven Unified                                 	Alameda        	2908	943	701	195	366	422	255	176	1314
01612590000000	D	                                                  	Oakland Unified                                   	Alameda        	9016	3024	1644	848	623	503	392	326	1314
01612590100065	S	Oakland Unity High                                	Oakland Unified                                   	Alameda        	204	67	44	1	10	20	9	4	1314
01612590100701	S	MetWest High                                      	Oakland Unified                                   	Alameda        	103	25	0	NA	NA	NA	NA	NA	1314
01612590106906	S	Bay Area Technology                               	Oakland Unified                                   	Alameda        	70	19	10	*	*	*	*	*	1314
01612590108944	S	Lighthouse Community Charter High                 	Oakland Unified                                   	Alameda        	162	31	17	0	2	2	5	8	1314
01612590110189	S	McClymonds High                                   	Oakland Unified                                   	Alameda        	184	47	35	59	0	0	0	0	1314
01612590111856	S	American Indian Public High                       	Oakland Unified                                   	Alameda        	104	32	144	120	69	49	20	15	1314
01612590112797	S	Coliseum College Prep Academy                     	Oakland Unified                                   	Alameda        	176	53	36	20	2	6	13	2	1314
01612590114868	S	Oakland Charter High                              	Oakland Unified                                   	Alameda        	174	49	77	28	23	21	16	17	1314
01612590115238	S	ARISE High                                        	Oakland Unified                                   	Alameda        	173	46	0	NA	NA	NA	NA	NA	1314
01612590115386	S	Civicorps Corpsmember Academy                     	Oakland Unified                                   	Alameda        	73	73	0	NA	NA	NA	NA	NA	1314
01612590115667	S	Oakland International High                        	Oakland Unified                                   	Alameda        	296	101	9	*	*	*	*	*	1314
01612590118224	S	Aspire Golden State College Preparatory           	Oakland Unified                                   	Alameda        	185	28	16	16	0	0	0	0	1314
01612590119859	S	Gateway to College at Laney College               	Oakland Unified                                   	Alameda        	94	87	0	NA	NA	NA	NA	NA	1314
01612590125161	S	Castlemont High                                   	Oakland Unified                                   	Alameda        	461	157	47	41	20	7	4	1	1314
01612590125716	S	Fremont High                                      	Oakland Unified                                   	Alameda        	561	146	84	41	46	26	13	5	1314
01612590126748	S	LPS Oakland R & D Campus                          	Oakland Unified                                   	Alameda        	218	63	0	NA	NA	NA	NA	NA	1314
01612590130179	S	Street Academy (Alternative)                      	Oakland Unified                                   	Alameda        	70	35	0	NA	NA	NA	NA	NA	1314
01612590130575	S	LIFE Academy                                      	Oakland Unified                                   	Alameda        	208	68	26	14	0	7	7	8	1314
01612590130617	S	"Oakland Military Institute, College Prep          "	Oakland Unified                                   	Alameda        	274	75	56	33	19	15	5	1	1314
01612590130666	S	Aspire Lionel Wilson College Preparatory          	Oakland Unified                                   	Alameda        	213	63	70	20	8	23	13	6	1314
01612590135905	S	Oakland High                                      	Oakland Unified                                   	Alameda        	1148	366	261	255	92	44	20	8	1314
01612590136051	S	Oakland Technical High                            	Oakland Unified                                   	Alameda        	1526	442	389	81	117	149	179	191	1314
01612590137943	S	Skyline High                                      	Oakland Unified                                   	Alameda        	1294	373	333	207	213	103	54	33	1314
01612593030772	S	Oakland School for the Arts                       	Oakland Unified                                   	Alameda        	266	75	72	5	16	34	37	27	1314
01612596066450	S	Madison Park Academy 6-12                         	Oakland Unified                                   	Alameda        	0	0	0	NA	NA	NA	NA	NA	1314
01612596114011	S	"Independent Study, Sojourner Truth                "	Oakland Unified                                   	Alameda        	178	85	0	NA	NA	NA	NA	NA	1314
01612750000000	D	                                                  	Piedmont City Unified                             	Alameda        	621	192	212	9	30	76	144	184	1314
01612750136515	S	Piedmont High                                     	Piedmont City Unified                             	Alameda        	556	172	212	9	30	76	144	184	1314
01612910000000	D	                                                  	San Leandro Unified                               	Alameda        	2147	772	466	265	225	193	108	57	1314
01612910137588	S	San Leandro High                                  	San Leandro Unified                               	Alameda        	2024	689	466	265	225	193	108	57	1314
01613090000000	D	                                                  	San Lorenzo Unified                               	Alameda        	3148	1059	851	385	491	351	227	116	1314
01613090111799	S	East Bay Arts High                                	San Lorenzo Unified                               	Alameda        	195	61	0	NA	NA	NA	NA	NA	1314
01613090114421	S	KIPP King Collegiate High                         	San Lorenzo Unified                               	Alameda        	360	101	235	70	125	92	78	41	1314
01613090130849	S	Arroyo High                                       	San Lorenzo Unified                               	Alameda        	1305	411	425	181	267	209	119	55	1314
09618530930214	S	EDUHSD Virtual Academy at Shenandoah              	El Dorado Union High                              	El Dorado      	57	16	0	NA	NA	NA	NA	NA	1314
09618530932756	S	El Dorado High                                    	El Dorado Union High                              	El Dorado      	1024	340	214	35	76	113	87	49	1314
09618530936302	S	Ponderosa High                                    	El Dorado Union High                              	El Dorado      	1351	436	363	24	151	259	228	126	1314
09619030000000	D	                                                  	Lake Tahoe Unified                                	El Dorado      	858	301	145	45	90	78	41	26	1314
09619030937805	S	South Tahoe High                                  	Lake Tahoe Unified                                	El Dorado      	731	226	145	45	90	78	41	26	1314
09737830000000	D	                                                  	Black Oak Mine Unified                            	El Dorado      	348	134	32	15	12	18	1	1	1314
09737830121566	S	American River Charter                            	Black Oak Mine Unified                            	El Dorado      	22	10	0	NA	NA	NA	NA	NA	1314
09737830930073	S	Golden Sierra Junior Senior High                  	Black Oak Mine Unified                            	El Dorado      	304	112	32	15	12	18	1	1	1314
09765960000000	D	                                                  	SBC - Pacific Technology                          	El Dorado      	32	10	1	*	*	*	*	*	1314
09765960119537	S	Pacific Technology School Santa Ana               	SBC - Pacific Technology                          	El Dorado      	32	10	1	*	*	*	*	*	1314
10000000000000	C	                                                  	                                                  	Fresno         	44270	15103	8501	4512	3721	3405	2162	961	1314
10101080000000	D	                                                  	Fresno County Office of Educat                    	Fresno         	916	410	0	NA	NA	NA	NA	NA	1314
10101080109991	S	Crescent View West Charter                        	Fresno County Office of Educat                    	Fresno         	368	238	0	NA	NA	NA	NA	NA	1314
10101080111682	S	Hume Lake Charter                                 	Fresno County Office of Educat                    	Fresno         	13	3	0	NA	NA	NA	NA	NA	1314
10101080119628	S	Big Picture High School - Fresno                  	Fresno County Office of Educat                    	Fresno         	47	9	0	NA	NA	NA	NA	NA	1314
10621170000000	D	                                                  	Clovis Unified                                    	Fresno         	9388	3101	2282	527	1061	1392	1085	517	1314
10621170113555	S	Clovis North High                                 	Clovis Unified                                    	Fresno         	1602	496	699	185	350	435	328	151	1314
10621170118018	S	Clovis Online Charter                             	Clovis Unified                                    	Fresno         	285	129	0	NA	NA	NA	NA	NA	1314
10621171030196	S	Clovis West High                                  	Clovis Unified                                    	Fresno         	1598	518	435	63	172	261	244	140	1314
10621171030469	S	Enterprise Alternative                            	Clovis Unified                                    	Fresno         	73	37	0	NA	NA	NA	NA	NA	1314
10621171030501	S	Buchanan High                                     	Clovis Unified                                    	Fresno         	1903	606	498	62	236	339	315	130	1314
10621171030683	S	Clovis East High                                  	Clovis Unified                                    	Fresno         	1525	471	325	136	164	159	80	29	1314
10621171031053	S	Clovis High                                       	Clovis Unified                                    	Fresno         	2142	737	325	81	139	198	118	67	1314
10621250000000	D	                                                  	Coalinga-Huron Unified                            	Fresno         	890	287	78	16	41	21	20	5	1314
10621251031376	S	Coalinga High                                     	Coalinga-Huron Unified                            	Fresno         	812	242	78	16	41	21	20	5	1314
10621580000000	D	                                                  	Fowler Unified                                    	Fresno         	533	163	85	29	36	27	18	3	1314
10621580120246	S	Fowler Academy Independent Study                  	Fowler Unified                                    	Fresno         	14	8	0	NA	NA	NA	NA	NA	1314
10621581032150	S	Fowler High                                       	Fowler Unified                                    	Fresno         	504	150	85	29	36	27	18	3	1314
10621660000000	D	                                                  	Fresno Unified                                    	Fresno         	15608	5261	3634	2498	1381	1098	620	292	1314
10621660108555	S	Design Science Early College High                 	Fresno Unified                                    	Fresno         	188	80	0	NA	NA	NA	NA	NA	1314
10621660114355	S	Sierra Charter                                    	Fresno Unified                                    	Fresno         	392	173	0	NA	NA	NA	NA	NA	1314
10621660114553	S	University High                                   	Fresno Unified                                    	Fresno         	365	114	219	69	158	184	124	75	1314
10621660115196	S	Fresno Academy for Civic and Entrepreneu          	Fresno Unified                                    	Fresno         	127	33	1	*	*	*	*	*	1314
10621661030279	S	Bullard High                                      	Fresno Unified                                    	Fresno         	1933	568	404	157	222	196	95	31	1314
10621661030287	S	J. E. Young Academic Center                       	Fresno Unified                                    	Fresno         	1065	529	1	*	*	*	*	*	1314
10621661030295	S	Erma Duncan Polytechnical High                    	Fresno Unified                                    	Fresno         	710	207	207	169	38	24	17	7	1314
10621661030584	S	Cambridge Continuation High                       	Fresno Unified                                    	Fresno         	434	238	3	*	*	*	*	*	1314
10621661030642	S	School of Unlimited Learning                      	Fresno Unified                                    	Fresno         	159	97	0	NA	NA	NA	NA	NA	1314
10621661030675	S	Sunnyside High                                    	Fresno Unified                                    	Fresno         	2285	699	617	458	270	169	44	6	1314
10621661030840	S	Carter G. Woodson Public Charter                  	Fresno Unified                                    	Fresno         	238	55	0	NA	NA	NA	NA	NA	1314
10621661031897	S	Edison High                                       	Fresno Unified                                    	Fresno         	1619	453	744	412	318	310	217	130	1314
10621661032507	S	Fresno High                                       	Fresno Unified                                    	Fresno         	1621	481	71	13	8	33	14	4	1314
10621661032911	S	Herbert Hoover High                               	Fresno Unified                                    	Fresno         	1296	449	504	411	211	92	32	13	1314
12630320111203	S	Alder Grove Charter                               	South Bay Union Elementary                        	Humboldt       	104	41	0	NA	NA	NA	NA	NA	1314
12630400000000	D	                                                  	Southern Humboldt Joint Unifie                    	Humboldt       	160	56	1	*	*	*	*	*	1314
12630401237007	S	South Fork Junior - Senior High                   	Southern Humboldt Joint Unifie                    	Humboldt       	144	48	1	*	*	*	*	*	1314
12753740000000	D	                                                  	Ferndale Unified                                  	Humboldt       	113	36	25	10	15	11	7	2	1314
12753741232909	S	Ferndale High                                     	Ferndale Unified                                  	Humboldt       	113	36	25	10	15	11	7	2	1314
12753820000000	D	                                                  	Mattole Unified                                   	Humboldt       	201	67	4	*	*	*	*	*	1314
12753821230135	S	Mattole Valley Charter (#159)                     	Mattole Unified                                   	Humboldt       	199	67	4	*	*	*	*	*	1314
