cds	rtype	sname	dname	cname	enroll12	enroll1012	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5	year
00000000000000	X				492835	1453807	353542	135358	155259	155111	124762	93581	1516
01000000000000	C			Alameda	16662	50183	14351	4277	4783	6060	6228	6412	1516
01100170000000	D		Alameda County Office of Education	Alameda	263	642	72	54	11	15	12	2	1516
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	88	292	72	54	11	15	12	2	1516
01316170131763	S	California School for the Deaf-Fremont	California School for the Deaf-Fremont (State Spec	Alameda	82	171	6	*	*	*	*	*	1516
01611190000000	D		Alameda Unified	Alameda	858	2671	809	188	387	451	340	244	1516
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda	37	131	0	N/A	N/A	N/A	N/A	N/A	1516
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	25	88	2	*	*	*	*	*	1516
01611190130229	S	Alameda High	Alameda Unified	Alameda	381	1253	611	148	295	349	269	213	1516
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	52	157	2	*	*	*	*	*	1516
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	31	124	0	N/A	N/A	N/A	N/A	N/A	1516
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda	243	784	0	N/A	N/A	N/A	N/A	N/A	1516
01611270000000	D		Albany City Unified	Alameda	300	920	278	21	69	158	189	153	1516
01611270130450	S	Albany High	Albany City Unified	Alameda	285	901	278	21	69	158	189	153	1516
01611430000000	D		Berkeley Unified	Alameda	922	2715	859	241	326	415	387	349	1516
01611430122697	S	REALM Charter High	Berkeley Unified	Alameda	77	262	63	53	24	9	8	6	1516
01611430131177	S	Berkeley High	Berkeley Unified	Alameda	798	2374	796	188	302	406	379	343	1516
01611500000000	D		Castro Valley Unified	Alameda	789	2332	475	29	132	234	238	256	1516
01611500132225	S	Castro Valley High	Castro Valley Unified	Alameda	702	2185	470	26	129	231	238	256	1516
01611500135533	S	Redwood Continuation High	Castro Valley Unified	Alameda	82	139	5	*	*	*	*	*	1516
01611680000000	D		Emery Unified	Alameda	50	130	10	*	*	*	*	*	1516
01611680132746	S	Emery Secondary	Emery Unified	Alameda	50	130	10	*	*	*	*	*	1516
01611760000000	D		Fremont Unified	Alameda	2548	7604	2930	346	806	1252	1648	2264	1516
01611760130062	S	American High	Fremont Unified	Alameda	444	1510	718	106	322	395	392	357	1516
01611760130138	S	Robertson High (Continuation)	Fremont Unified	Alameda	118	204	3	*	*	*	*	*	1516
01611760130435	S	Vista Alternative	Fremont Unified	Alameda	17	24	1	*	*	*	*	*	1516
01611760130534	S	Circle of Independent Learning	Fremont Unified	Alameda	40	119	3	*	*	*	*	*	1516
01611760134270	S	Irvington High	Fremont Unified	Alameda	553	1714	658	27	95	231	337	544	1516
01611760134452	S	John F. Kennedy High	Fremont Unified	Alameda	369	1074	221	109	143	100	55	36	1516
