cds	ccode	cdcode	scode	rtype	sname	dname	cname	Enroll1012	Enroll12	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5
00000000000000	00	0000000	0000000	X				1451775	484169	371994	139209	170255	170307	130809	90825
01000000000000	01	0100000	0000000	C			Alameda	50767	16638	15422	4589	5370	6708	6509	6791
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	598	253	42	39	13	9	2	0
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	293	81	42	39	13	9	2	0
01316170131763	01	0131617	0131763	S	California School for the Deaf-Fremont	California School for the Deaf-Fremont (State Spec	Alameda	161	86	1	*	*	*	*	*
01611190000000	01	0161119	0000000	D		Alameda Unified	Alameda	2725	910	924	198	360	511	395	251
01611190106401	01	0161119	0106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda	133	44	0	N/A	N/A	N/A	N/A	N/A
01611190119222	01	0161119	0119222	S	Nea Community Learning Center	Alameda Unified	Alameda	78	16	5	*	*	*	*	*
01611190130229	01	0161119	0130229	S	Alameda High	Alameda Unified	Alameda	1302	419	673	138	265	395	312	198
01611190130609	01	0161119	0130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	155	52	0	N/A	N/A	N/A	N/A	N/A
01611190130625	01	0161119	0130625	S	Alternatives in Action	Alameda Unified	Alameda	124	30	1	*	*	*	*	*
01611190132142	01	0161119	0132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda	791	245	0	N/A	N/A	N/A	N/A	N/A
01611190134304	01	0161119	0134304	S	Island High (Continuation)	Alameda Unified	Alameda	128	99	1	*	*	*	*	*
01611270000000	01	0161127	0000000	D		Albany City Unified	Alameda	896	300	299	16	75	144	197	213
01611270130450	01	0161127	0130450	S	Albany High	Albany City Unified	Alameda	887	295	299	16	75	144	197	213
01611430000000	01	0161143	0000000	D		Berkeley Unified	Alameda	2567	891	850	220	292	356	386	298
01611430122697	01	0161143	0122697	S	REALM Charter High	Berkeley Unified	Alameda	257	63	67	65	23	5	5	1
01611430131177	01	0161143	0131177	S	Berkeley High	Berkeley Unified	Alameda	2242	781	782	154	269	351	381	297
01611430134924	01	0161143	0134924	S	Berkeley Technology Academy	Berkeley Unified	Alameda	61	44	1	*	*	*	*	*
01611500000000	01	0161150	0000000	D		Castro Valley Unified	Alameda	2293	779	509	30	117	245	284	292
01611500132225	01	0161150	0132225	S	Castro Valley High	Castro Valley Unified	Alameda	2167	714	509	30	117	245	284	292
01611680000000	01	0161168	0000000	D		Emery Unified	Alameda	123	35	19	17	8	3	1	0
01611680132746	01	0161168	0132746	S	Emery Secondary	Emery Unified	Alameda	123	35	19	17	8	3	1	0
01611760000000	01	0161176	0000000	D		Fremont Unified	Alameda	7574	2479	3054	370	860	1374	1741	2543
01611760130062	01	0161176	0130062	S	American High	Fremont Unified	Alameda	1599	510	754	148	335	473	491	450
