cds	ccode	cdcode	scode	rtype	sname	dname	cname	enroll12	enroll1012	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5	Year
00000000000000	00	0000000	0000000	X				489221	1448662	380453	135606	167202	170951	138454	101189	2017-18
01000000000000	01	0100000	0000000	C			Alameda	17476	51601	15658	3866	5339	6855	7080	7443	2017-18
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	249	566	46	25	12	15	9	3	2017-18
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	93	304	44	20	11	13	9	3	2017-18
01100170136101	01	0110017	0136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda	0	8	2	*	*	*	*	*	2017-18
01316170131763	01	0131617	0131763	S	California School for the Deaf-Fremont	California School for the Deaf-Fremont (State Spec	Alameda	76	163	3	*	*	*	*	*	2017-18
01611190000000	01	0161119	0000000	D		Alameda Unified	Alameda	946	2712	863	145	342	461	382	282	2017-18
01611190106401	01	0161119	0106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda	44	138	1	*	*	*	*	*	2017-18
01611190119222	01	0161119	0119222	S	Nea Community Learning Center	Alameda Unified	Alameda	30	84	5	*	*	*	*	*	2017-18
01611190130229	01	0161119	0130229	S	Alameda High	Alameda Unified	Alameda	447	1323	647	114	278	351	295	237	2017-18
01611190130609	01	0161119	0130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	44	132	0	N/A	N/A	N/A	N/A	N/A	2017-18
01611190130625	01	0161119	0130625	S	Alternatives in Action	Alameda Unified	Alameda	34	145	0	N/A	N/A	N/A	N/A	N/A	2017-18
01611190132142	01	0161119	0132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda	265	762	210	27	63	110	87	44	2017-18
01611270000000	01	0161127	0000000	D		Albany City Unified	Alameda	279	845	281	25	90	138	178	204	2017-18
01611270130450	01	0161127	0130450	S	Albany High	Albany City Unified	Alameda	269	831	281	25	90	138	178	204	2017-18
