cds	ccode	cdcode	scode	rtype	sname	dname	cname	studentgroup	enroll1012	enroll12	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5	year
00000000000000	00	0000000	0000000	X				AA	82651	28784	11094	6787	5438	3656	1820	757	2018-19
00000000000000	00	0000000	0000000	X				AI	7842	2718	937	397	448	382	242	130	2018-19
00000000000000	00	0000000	0000000	X				ALL	1457183	489650	383274	130840	165133	173521	141733	104041	2018-19
00000000000000	00	0000000	0000000	X				AS	136397	46190	76842	14949	28883	41420	42948	44676	2018-19
00000000000000	00	0000000	0000000	X				EL	153051	50239	8357	2651	1547	2201	1984	1875	2018-19
00000000000000	00	0000000	0000000	X				FI	42651	15073	16713	5411	8935	8690	5495	2852	2018-19
00000000000000	00	0000000	0000000	X				FOS	8326	2896	382	251	168	112	68	25	2018-19
00000000000000	00	0000000	0000000	X				HI	781936	260310	163246	82335	75928	59255	39135	19790	2018-19
00000000000000	00	0000000	0000000	X				HOM	44540	16006	7320	3887	3359	2622	1705	878	2018-19
00000000000000	00	0000000	0000000	X				MR	43394	13871	12596	2506	4901	6393	5705	4277	2018-19
00000000000000	00	0000000	0000000	X				PI	7049	2409	1265	585	629	467	305	185	2018-19
00000000000000	00	0000000	0000000	X				SED	854895	284775	179078	92259	86154	67116	44089	24207	2018-19
00000000000000	00	0000000	0000000	X				SWD	177954	67979	5031	2414	1680	1547	1021	682	2018-19
00000000000000	00	0000000	0000000	X				WH	343313	116781	95771	16621	38202	51290	44351	29996	2018-19
01000000000000	01	0100000	0000000	C			Alameda	AA	5465	2040	637	434	237	162	78	34	2018-19
01000000000000	01	0100000	0000000	C			Alameda	AI	120	43	16	7	2	4	7	5	2018-19
01000000000000	01	0100000	0000000	C			Alameda	ALL	52468	17567	15784	3455	5216	7073	7376	7794	2018-19
01000000000000	01	0100000	0000000	C			Alameda	AS	12600	4097	7309	1172	2237	3597	4283	5406	2018-19
01000000000000	01	0100000	0000000	C			Alameda	EL	6044	1966	399	194	82	95	58	87	2018-19
01000000000000	01	0100000	0000000	C			Alameda	FI	3086	1100	846	207	458	398	223	144	2018-19
01000000000000	01	0100000	0000000	C			Alameda	FOS	148	64	4	*	*	*	*	*	2018-19
01000000000000	01	0100000	0000000	C			Alameda	HI	18008	5832	3161	1231	1239	1146	781	457	2018-19
01000000000000	01	0100000	0000000	C			Alameda	HOM	1001	329	84	24	34	38	26	13	2018-19
01000000000000	01	0100000	0000000	C			Alameda	MR	2335	744	665	100	201	314	300	276	2018-19
01000000000000	01	0100000	0000000	C			Alameda	PI	547	199	73	27	31	26	16	10	2018-19
01000000000000	01	0100000	0000000	C			Alameda	SED	23536	7868	4799	2130	2092	1854	1221	840	2018-19
01000000000000	01	0100000	0000000	C			Alameda	SWD	6188	2462	225	118	73	42	39	42	2018-19
01000000000000	01	0100000	0000000	C			Alameda	WH	9964	3375	3013	262	782	1402	1666	1433	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	AA	175	63	5	*	*	*	*	*	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	ALL	515	170	57	35	18	17	13	5	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	AS	14	4	1	*	*	*	*	*	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	EL	76	18	6	*	*	*	*	*	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	HI	255	81	46	27	15	15	12	5	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	MR	24	9	1	*	*	*	*	*	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	PI	5	3	1	*	*	*	*	*	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	SED	399	131	47	29	14	15	12	4	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	SWD	62	24	4	*	*	*	*	*	2018-19
01100170000000	01	0110017	0000000	D		Alameda County Office of Education	Alameda	WH	37	7	3	*	*	*	*	*	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	AA	85	22	5	*	*	*	*	*	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	ALL	277	84	51	34	16	13	12	4	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	EL	41	7	6	*	*	*	*	*	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	HI	162	53	44	26	15	13	12	4	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	MR	9	2	1	*	*	*	*	*	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	PI	4	2	1	*	*	*	*	*	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	SED	222	70	45	28	14	13	12	3	2018-19
01100170112607	01	0110017	0112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	SWD	31	9	4	*	*	*	*	*	2018-19
01100170136101	01	0110017	0136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda	ALL	37	9	6	*	*	*	*	*	2018-19
01100170136101	01	0110017	0136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda	AS	6	1	1	*	*	*	*	*	2018-19
01100170136101	01	0110017	0136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda	HI	3	1	2	*	*	*	*	*	2018-19
